id,username,created_at,lng,lat,text
1.51736E+18,ZackDavisson,Fri Apr 22 04:18:47 +0000 2022,-122.3306025,47.614817,@chrisross @Manruss I'd go one the flotilla but only if they served the tuna burgers from the old Captain Hook's pirate ship restaurant.
1.51736E+18,TravisMayfield,Fri Apr 22 04:18:50 +0000 2022,-122.3306025,47.614817,@msdodgrblu Are they alive?!
1.51736E+18,taylordavisco,Fri Apr 22 04:18:57 +0000 2022,-122.630908,45.536402,@jacobetovar ima drop em to you everyday i’m flexin
1.51736E+18,JakeDuarte43,Fri Apr 22 04:19:09 +0000 2022,-119.3066075,37.2691755,@boogiesurf13 @FredDoughty2 Like Ace Rothstein. 😂
1.51736E+18,billinitup1,Fri Apr 22 04:19:11 +0000 2022,-122.3306025,47.614817,I don’t need to bet that @RepMTG will plead the fifth tomorrow. #guiltyaf #lockherup https://t.co/ZXOCDn4nMA
1.51736E+18,JLJensen8,Fri Apr 22 04:19:13 +0000 2022,-123.321857,42.429316,@JackPosobiec You're so full of sh$t it's coming out of your mouth.
1.51736E+18,ThrottleJockey6,Fri Apr 22 04:19:13 +0000 2022,-122.194398,47.481598,@scottibo2 @Sentens2TheOars Great point. The villages has a similar arrangement if I understand correctly. We know… https://t.co/bB4siU8hXV
1.51736E+18,flowerfairypnw,Fri Apr 22 04:19:17 +0000 2022,-122.630908,45.536402,people who hate on subtronics confuse tf out of me
1.51736E+18,ColverErnie,Fri Apr 22 04:19:17 +0000 2022,-114.465155,42.561255,"@bourbonX_ada @ewarren Probably, she writes books and is very good with finances."
1.51736E+18,cathiebun,Fri Apr 22 04:19:18 +0000 2022,-117.0226945,38.502147,@AutumnDragons @NMmusicjunkie Gud! Ise will hab da itinerary all planned owt! Talk tomorrow! Mom is pulling da fone… https://t.co/NfDpyUu9Py
1.51736E+18,William13839663,Fri Apr 22 04:19:19 +0000 2022,-120.846825,44.307668,Hugeeee !!  Cmon !!
1.51736E+18,ARTICANNABELLUM,Fri Apr 22 04:19:22 +0000 2022,-123.1224015,44.065621,BERKOWITZ CHEWED THROUGH HIS VICTIMS PRIVATE MONEY WITH EASE THEN CHOKED WHEN HE CHEWED THROUGH MY RUSSIAN GOVERNMENT FUNDED MILITARY VALOR
1.51736E+18,Grecia_White,Fri Apr 22 04:19:28 +0000 2022,-122.630908,45.536402,okay i know yall are proly sick of me by now but look what my hostel has!! (and it was pretty affordable actually)… https://t.co/TycqaUYiPI
1.51736E+18,angusmaude,Fri Apr 22 04:19:31 +0000 2022,-123.123581,49.257639,“MOONLIGHT SHOW” out nowhttps://t.co/mOOicvdOcy
1.51736E+18,Drain_001,Fri Apr 22 04:19:33 +0000 2022,-122.3669741,47.51351351,"By an odd coincidence, I'm at a roller rink with a bar. Floor's not as smooth as Hall C though, cheers #PAXEast :) https://t.co/G2ed29TwfQ"
1.51736E+18,taylordavisco,Fri Apr 22 04:19:33 +0000 2022,-122.630908,45.536402,@jacobetovar i’m concerned about your caffeine intake brother
1.51736E+18,dewansandy,Fri Apr 22 04:19:35 +0000 2022,-119.3066075,37.2691755,@7Priya_cute Where can I watch it?
1.51736E+18,BhaveshChauhan,Fri Apr 22 04:19:38 +0000 2022,-123.0761023,49.27769024,"I'm at Off The Rail Brewing Co in Vancouver, British Columbia https://t.co/ohTjXRAzg1"
1.51736E+18,BLeeLoganberg,Fri Apr 22 04:19:49 +0000 2022,-123.123581,49.257639,@gscucci They’re better with pictures since they don’t read so well... https://t.co/xG3mS2EhpE
1.51736E+18,MWash90,Fri Apr 22 04:19:51 +0000 2022,-118.3210685,46.0646405,The Fyre Festival lasted longer than CNN+
1.51736E+18,mercy_egirl,Fri Apr 22 04:19:53 +0000 2022,-122.6647545,47.74764,"Can we never forget this happened: 5,000 to 1… https://t.co/vi9z7YnVUs"
